Group definition,,"Benson correction, kcal/mol","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson corrector, Number of cis interactions","Benson group, number","Benson group, number",Lumped benzene with one ligand ,Lumped benzene with ortho ligands,Lumped benzene with meta ligands,Lumped benzene with para ligands,"Lumped benzene with ligands at 1,2,3 positions","Lumped benzene with ligands at 1,2,4 positions","Lumped benzene group with ligands at 1,3,5 positions","Lumped benzene group with ligands at 1,2,3,5 positions",A lumping scheme for PAHs (see Sheet 2),A lumping scheme for PAHs (see Sheet 2),A lumping scheme for PAHs (see Sheet 2),A lumping scheme for PAHs (see Sheet 2),A lumping scheme for PAHs (see Sheet 2),A lumping scheme for PAHs (see Sheet 2),A lumping scheme for PAHs (see Sheet 2),A lumping scheme for PAHs (see Sheet 2),"Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number (either Nsp3 or Nsp2)","New Benson-like group, number (either Nsp3 or Nsp2)","Benson group, number (either Csp3 or Csp2)","Benson group, number (either Nsp3 or Nsp2)","Benson group, number (Ni is imine N)","Benson group, number (either Nsp3 or Nsp2)","Benson group, number (either Nsp3 or Nsp2)",New Benson-like group (Ci is imine C),"Benson group, number","New Benson-like group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Benson group, number","Atom-type descriptors, number","Atom-type descriptors, number","Atom-type descriptors, number","Atom-type descriptors, number","Atom-type descriptors, number","Atom-type descriptors, number","Atom-type descriptors, number","Atom-type descriptors, number","Atom-type descriptors, number","Atom-type descriptors, number","Atom-type descriptors, number","Atom-type descriptors, number","Atom-type descriptors, number","Atom-type descriptors, number","Atom-type descriptors, number","Atom-type descriptors, number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,1' biphenyl 2 phenoxy",,0.0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,14,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quaterphenyl, 2 ortho connections",,0.0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,18,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quaterphenyl, 2 meta connections",,0.0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,18,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quaterphenyl, 2 para connections",,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,18,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diphenyl ether,,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p-Methyl-Biphenyl,,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biphenyl,,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Formula,Ring strain,C-(X)(H)3,C-(C)2(H)2,C-(C)3(H),C-(C)4,Cd-(H)2,Cd-(C)(H) and Ci-(C)(H),Cd-(C)2,cis,Ct-(H) ,Ct-(C),Ph-1,Ph-12,Ph-13,Ph-14,Ph-123,Ph-124,Ph-135,Ph-1235,1-side fused,"1,2-sides fused","1,3 sides fused","1,4-sides fused","1,2,3-sides fused","1,2,4 sides fused","1,3,5-sides fused","1,2,3,4,5-sides fused",Cbf-(Cb)2(Cbf),Cbf-(Cb)(Cbf)2,Cbf-(Cbf)3,C-(O)(C)(H)2,C-(O)(C)2(H),C-(O)(C)3 ,C-(O)2(C)(H),O-(C)(H),Cd-(O)(C),Cd-(O)(H),O-(C)2,CO-(C)(H),CO-(C)2,CO-(O)(C),CO-(O)(H),O-(Cb)(H),O-(Cb)(C),N-(Cb)(H)2 and N-(C)(H)2,N-(Cb)(C)2,CO-(Cb)(C),CO-(Cb)(O),Cb-(Cl),Cb-(Br),C-(N)(C)(H)2,C-(N)2(H)2,N-(C)2(H) ,Cd-(H)(N),Ni-(C),Cd-(N)(C) and Ci-(N)(C) ,Cd-(N)2 and Ci-(N)2,Ci-(N)(H),CO-(C)(N),CO-(N)2,C-(S)(C)(H)2,C-(S)(C)2(H),S-(C)2,S-(C)(H),C-(CN)  ,C-(F)3(C),C-(F)2(C)2,C-(F)(C)(H)2,Cd-(F)2,Cd-(F)(H),Cd-(C)(F),C-(C)(Cl)3,C-(C)(Cl)2(H),C-(C)(Cl)(H)2,C-(C)2(Cl)(H),Cd-(Cl)2,Cd-(Cl)(H),C-(C)(Br)(H)2,C-(C)(I)(H)2,Csp3,Csp2,Csp,Osp3,Osp2,Nsp3,Nsp2,Nsp,Ssp3,Ssp2,H,D,F,Cl,Br,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triacetylene,,0.0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venyl acetylene,,0.0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
